Date,HighTemp,LowTemp,AverageTemp,Precipitation,NauticalTwilightRise,NauticalTwilightSet,,
1/1/2018,75,45,60,0,6:01,5:54,,
1/2/2018,81,52,67,0,6:01,5:55,,
1/3/2018,74,54,64,0,6:01,5:56,,
1/4/2018,76,52,64,0,6:02,5:56,,
1/5/2018,74,53,64,0,6:02,5:57,,
1/6/2018,70,57,64,0,6:02,5:58,,
1/7/2018,75,50,63,0,6:02,5:59,,
1/8/2018,66,59,63,0.47,6:02,5:59,,
1/9/2018,61,48,55,1.86,6:02,6:00,,
1/10/2018,65,44,55,0,6:02,6:01,,
1/11/2018,72,46,59,0,6:02,6:02,,
1/12/2018,81,48,65,0,6:02,6:03,,
1/13/2018,82,48,65,0,6:02,6:04,,
1/14/2018,81,52,67,0,6:02,6:04,,
1/15/2018,73,49,61,0,6:02,6:05,,
1/16/2018,72,51,62,0,6:01,6:06,,
1/17/2018,80,50,65,0,6:01,6:07,,
1/18/2018,77,52,65,0,6:01,6:08,,
1/19/2018,62,52,57,1.00E-16,6:01,6:09,,
1/20/2018,60,48,54,0,6:01,6:10,,
1/21/2018,63,39,51,0,6:00,6:10,,
1/22/2018,70,42,56,0,6:00,6:11,,
1/23/2018,74,42,58,0,6:00,6:12,,
1/24/2018,74,45,60,0,5:59,6:13,,
1/25/2018,61,44,53,0,5:59,6:14,,
1/26/2018,68,42,55,0,5:58,6:15,,
1/27/2018,73,43,58,0,5:58,6:16,,
1/28/2018,86,54,70,0,5:57,6:17,,
1/29/2018,85,61,73,0,5:57,6:18,,
1/30/2018,81,57,69,0,5:56,6:19,,
1/31/2018,82,49,66,0,5:55,6:20,,
2/1/2018,85,51,68,0,5:54,6:21,,
2/2/2018,82,51,67,0,5:54,6:22,,
2/3/2018,82,51,67,0,5:53,6:23,,
2/6/2018,78,51,65,0,5:52,6:25,,
2/7/2018,82,49,66,0,5:51,6:26,,
2/8/2018,84,50,67,0,5:50,6:27,,
2/9/2018,76,52,64,0,5:49,6:28,,
2/10/2018,64,53,59,0,5:49,6:28,,
2/12/2018,61,49,55,0.02,5:47,6:30,,
2/13/2018,65,45,55,0,5:46,6:31,,
2/14/2018,67,52,60,1.00E-16,5:45,6:32,,
2/15/2018,71,50,61,0,5:44,6:33,,
2/16/2018,73,48,61,0,5:43,6:34,,
2/17/2018,74,45,60,0,5:42,6:34,,
2/18/2018,67,45,56,0,5:41,6:35,,
2/19/2018,58,45,52,0,5:40,6:36,,
2/20/2018,59,36,48,0,5:39,6:37,,
2/21/2018,59,42,51,0,5:38,6:38,,
2/22/2018,58,38,48,0,5:37,6:39,,
2/23/2018,57,41,49,0,5:36,6:40,,
2/24/2018,62,35,49,0,5:35,6:40,,
2/25/2018,68,40,54,0,5:34,6:41,,
2/26/2018,64,41,53,0.14,5:32,6:42,,
2/27/2018,54,40,47,1.00E-16,5:31,6:43,,
2/28/2018,60,37,49,0,5:30,6:44,,
3/1/2018,61,43,52,1.00E-16,5:29,6:44,,
3/2/2018,55,49,52,0.35,5:28,6:45,,
3/3/2018,57,46,52,0.14,5:26,6:46,,
3/4/2018,64,38,51,0,5:25,6:47,,
3/5/2018,71,40,56,0,5:24,6:48,,
3/6/2018,77,45,61,0,5:23,6:48,,
3/7/2018,73,49,61,0,5:21,6:49,,
3/8/2018,75,48,62,0,5:20,6:50,,
3/9/2018,71,50,61,0,5:19,6:51,,
3/10/2018,60,55,58,0.75,5:17,6:52,,
3/11/2018,65,55,60,0.01,6:16,7:52,,
3/12/2018,74,53,64,1.00E-16,6:15,7:53,,
3/13/2018,67,57,62,0.17,6:13,7:54,,
3/14/2018,62,52,57,0.23,6:12,7:55,,
3/15/2018,65,49,57,0.53,6:11,7:56,,
3/16/2018,59,49,54,0.07,6:09,7:56,,
3/17/2018,59,48,54,0,6:08,7:57,,
3/18/2018,62,42,52,0,6:06,7:58,,
3/19/2018,73,45,59,0,6:05,7:59,,
3/20/2018,70,53,62,0.02,6:04,8:00,,
3/21/2018,61,53,57,0.63,6:02,8:00,,
3/22/2018,61,54,58,0.74,6:01,8:01,,
3/23/2018,67,54,61,0.02,5:59,8:02,,
3/24/2018,64,50,57,0,5:58,8:03,,
3/25/2018,62,50,56,0,5:56,8:04,,
3/26/2018,70,48,59,0,5:55,8:04,,
3/27/2018,77,50,64,0,5:54,8:05,,
3/28/2018,76,49,63,0,5:52,8:06,,
3/29/2018,79,53,66,0,5:51,8:07,,
3/30/2018,84,54,69,0,5:49,8:08,,
4/1/2018,71,54,63,0,5:46,8:09,,
4/2/2018,67,55,61,0,5:45,8:10,,
4/3/2018,72,53,63,0,5:43,8:11,,
4/4/2018,71,51,61,0,5:42,8:12,,
4/5/2018,71,55,63,0,5:41,8:13,,
4/6/2018,72,55,64,0,5:39,8:14,,
4/7/2018,74,57,66,0,5:38,8:14,,
4/8/2018,77,55,66,0,5:36,8:15,,
4/9/2018,95,54,75,0,5:35,8:16,,
4/10/2018,90,61,76,0,5:33,8:17,,
4/11/2018,79,57,68,0,5:32,8:18,,
4/12/2018,67,53,60,0,5:31,8:19,,
4/13/2018,81,56,69,0,5:29,8:20,,
4/14/2018,85,53,69,0,5:28,8:21,,
4/15/2018,78,53,66,0,5:26,8:22,,
4/16/2018,66,50,58,0,5:25,8:22,,
4/17/2018,71,49,60,0,5:24,8:23,,
4/18/2018,72,50,61,0,5:22,8:24,,
4/19/2018,64,48,56,1.00E-16,5:21,8:25,,
4/20/2018,75,51,63,0,5:20,8:26,,
4/21/2018,89,53,71,0,5:18,8:27,,
4/22/2018,85,58,72,0,5:17,8:28,,
4/23/2018,81,57,69,0,5:16,8:29,,
4/24/2018,78,54,66,0,5:14,8:30,,
4/25/2018,77,53,65,0,5:13,8:31,,
4/26/2018,74,53,64,0,5:12,8:32,,
4/27/2018,71,53,62,0,5:11,8:33,,
4/28/2018,71,52,62,0,5:09,8:34,,
4/29/2018,68,52,60,0,5:08,8:35,,
4/30/2018,65,54,60,0,5:07,8:36,,
5/1/2018,58,51,55,0.01,5:06,8:37,,
5/2/2018,65,52,59,1.00E-16,5:05,8:38,,
5/3/2018,74,52,63,0,5:03,8:39,,
5/4/2018,90,56,73,0,5:02,8:39,,
5/5/2018,93,63,78,0,5:01,8:40,,
5/6/2018,86,62,74,0,5:00,8:41,,
5/7/2018,80,56,68,0,4:59,8:42,,
5/9/2018,82,57,70,0,4:57,8:44,,
5/10/2018,79,58,69,0,4:56,8:45,,
5/11/2018,62,57,60,1.00E-16,4:55,8:46,,
5/12/2018,63,54,59,0.02,4:54,8:47,,
5/13/2018,72,56,64,0,4:53,8:48,,
5/14/2018,69,53,61,0,4:52,8:49,,
5/15/2018,72,54,63,0,4:51,8:50,,
5/16/2018,75,54,65,0,4:50,8:51,,
5/17/2018,72,54,63,0,4:49,8:52,,
5/18/2018,69,58,64,0,4:49,8:53,,
5/19/2018,69,56,63,0,4:48,8:54,,
5/20/2018,70,59,65,0,4:47,8:55,,
5/21/2018,62,57,60,0.04,4:46,8:56,,
5/22/2018,68,57,63,0,4:45,8:57,,
5/23/2018,71,57,64,0,4:45,8:57,,
5/24/2018,65,56,61,1.00E-16,4:44,8:58,,
5/25/2018,68,56,62,0,4:43,8:59,,
5/26/2018,69,53,61,0,4:43,9:00,,
5/27/2018,75,54,65,0,4:42,9:01,,
5/28/2018,82,54,68,0,4:42,9:02,,
5/29/2018,77,58,68,0,4:41,9:02,,
5/30/2018,67,57,62,0.04,4:41,9:03,,
5/31/2018,70,59,65,0,4:40,9:04,,
6/1/2018,77,55,66,0,4:40,9:05,,
6/2/2018,82,59,71,0,4:39,9:05,,
6/3/2018,87,60,74,0,4:39,9:06,,
6/4/2018,81,58,70,0,4:39,9:07,,
6/5/2018,74,59,67,0,4:38,9:07,,
6/6/2018,76,58,67,0,4:38,9:08,,
6/7/2018,78,57,68,0,4:38,9:09,,
6/8/2018,86,59,73,0,4:37,9:09,,
6/9/2018,83,62,73,0,4:37,9:10,,
6/10/2018,81,61,71,0,4:37,9:10,,
6/11/2018,87,62,75,0,4:37,9:11,,
6/12/2018,88,63,76,0,4:37,9:11,,
6/13/2018,89,62,76,0,4:37,9:12,,
6/14/2018,93,61,77,0,4:37,9:12,,
6/15/2018,84,61,73,0,4:37,9:13,,
6/16/2018,70,60,65,0,4:37,9:13,,
6/17/2018,68,59,64,0,4:37,9:13,,
6/18/2018,73,58,66,0,4:37,9:14,,
6/19/2018,79,57,68,0,4:37,9:14,,
6/20/2018,85,59,72,0,4:37,9:14,,
6/21/2018,83,63,73,0,4:38,9:14,,
6/22/2018,84,63,74,0,4:38,9:15,,
6/23/2018,75,62,69,0,4:38,9:15,,
6/24/2018,77,60,69,0,4:38,9:15,,
6/25/2018,83,60,72,0,4:39,9:15,,
6/26/2018,84,60,72,0,4:39,9:15,,
6/27/2018,84,60,72,0,4:39,9:15,,
6/28/2018,80,60,70,0,4:40,9:15,,
6/29/2018,79,66,73,0,4:40,9:15,,
7/1/2018,82,63,73,0,4:41,9:15,,
7/2/2018,83,62,73,0,4:42,9:15,,
7/3/2018,79,62,71,0,4:42,9:14,,
7/4/2018,83,61,72,0,4:43,9:14,,
7/5/2018,99,61,80,0,4:43,9:14,,
7/6/2018,114,72,93,0,4:44,9:14,,
7/7/2018,105,82,94,0,4:44,9:13,,
7/8/2018,98,79,89,0,4:45,9:13,,
7/9/2018,99,75,87,0,4:46,9:13,,
7/10/2018,91,73,82,0,4:46,9:12,,
7/11/2018,93,71,82,0,4:47,9:12,,
7/12/2018,92,71,82,0,4:48,9:11,,
7/13/2018,91,69,80,0,4:48,9:11,,
7/14/2018,91,68,80,0,4:49,9:10,,
7/15/2018,91,69,80,0,4:50,9:10,,
7/16/2018,89,67,78,0,4:51,9:09,,
7/17/2018,86,66,76,0,4:52,9:09,,
7/18/2018,89,67,78,0,4:52,9:08,,
7/19/2018,89,68,79,0,4:53,9:07,,
7/20/2018,85,68,77,0,4:54,9:07,,
7/21/2018,88,66,77,0,4:55,9:06,,
7/22/2018,94,67,81,0,4:56,9:05,,
7/23/2018,98,72,85,0,4:57,9:04,,
7/24/2018,99,73,86,0,4:57,9:04,,
7/25/2018,97,73,85,0,4:58,9:03,,
7/26/2018,90,69,80,0,4:59,9:02,,
7/27/2018,94,68,81,0,5:00,9:01,,
7/28/2018,88,67,78,0,5:01,9:00,,
7/29/2018,97,69,83,0,5:02,8:59,,
7/30/2018,94,73,84,0,5:03,8:58,,
7/31/2018,96,71,84,0,5:04,8:57,,
8/1/2018,95,72,84,0,5:05,8:56,,
8/2/2018,92,72,82,0,5:06,8:55,,
8/3/2018,93,71,82,0,5:06,8:54,,
8/4/2018,92,69,81,0,5:07,8:53,,
8/5/2018,91,68,80,0,5:08,8:52,,
8/6/2018,100,69,85,0,5:09,8:51,,
8/7/2018,100,72,86,0,5:10,8:50,,
8/8/2018,96,70,83,0,5:11,8:49,,
8/9/2018,101,72,87,0,5:12,8:47,,
8/10/2018,93,74,84,0,5:13,8:46,,
8/11/2018,90,73,82,0,5:14,8:45,,
8/12/2018,88,70,79,0,5:15,8:44,,
8/13/2018,88,67,78,0,5:16,8:43,,
8/14/2018,85,66,76,0,5:17,8:41,,
8/15/2018,88,67,78,0,5:17,8:40,,
8/16/2018,88,68,78,0,5:18,8:39,,
8/17/2018,89,70,80,0,5:19,8:37,,
8/18/2018,88,69,79,0,5:20,8:36,,
8/19/2018,89,67,78,0,5:21,8:35,,
8/20/2018,84,68,76,0,5:22,8:33,,
8/21/2018,85,68,77,0,5:23,8:32,,
8/22/2018,87,68,78,0,5:24,8:31,,
8/23/2018,87,65,76,0,5:25,8:29,,
8/24/2018,83,64,74,0,5:25,8:28,,
8/25/2018,83,64,74,0,5:26,8:27,,
8/26/2018,83,63,73,0,5:27,8:25,,
8/27/2018,81,63,72,0,5:28,8:24,,
8/28/2018,81,63,72,0,5:29,8:22,,
8/29/2018,88,65,77,0,5:30,8:21,,
8/30/2018,91,63,77,0,5:30,8:20,,
8/31/2018,86,63,75,0,5:31,8:18,,
9/1/2018,82,63,73,0,5:32,8:17,,
9/2/2018,81,65,73,0,5:33,8:15,,
9/3/2018,82,66,74,0,5:34,8:14,,
9/4/2018,80,64,72,0,5:34,8:12,,
9/5/2018,80,65,73,0,5:35,8:11,,
9/6/2018,81,64,73,0,5:36,8:09,,
9/7/2018,90,62,76,0,5:37,8:08,,
9/8/2018,96,65,81,0,5:38,8:06,,
9/9/2018,92,66,79,0,5:38,8:05,,
9/10/2018,86,65,76,0,5:39,8:03,,
9/11/2018,82,65,74,0,5:40,8:02,,
9/12/2018,83,64,74,0,5:41,8:00,,
9/13/2018,89,61,75,0,5:41,7:59,,
9/14/2018,93,63,78,0,5:42,7:57,,
9/15/2018,87,63,75,0,5:43,7:56,,
9/16/2018,89,61,75,0,5:44,7:55,,
9/17/2018,88,59,74,0,5:44,7:53,,
9/18/2018,86,57,72,0,5:45,7:52,,
9/19/2018,83,57,70,0,5:46,7:50,,
9/20/2018,85,59,72,0,5:47,7:49,,
9/21/2018,84,63,74,0,5:47,7:47,,
9/22/2018,93,61,77,0,5:48,7:46,,
9/23/2018,84,63,74,0,5:49,7:44,,
9/24/2018,78,60,69,0,5:50,7:43,,
9/25/2018,77,59,68,0,5:50,7:41,,
9/26/2018,88,60,74,0,5:51,7:40,,
9/27/2018,88,62,75,0,5:52,7:38,,
9/28/2018,85,62,74,0,5:52,7:37,,
9/29/2018,81,63,72,0,5:53,7:36,,
9/30/2018,85,58,72,0,5:54,7:34,,
10/1/2018,90,67,79,0,5:55,7:33,,
10/2/2018,79,67,73,0,5:55,7:31,,
10/3/2018,74,65,70,0.01,5:56,7:30,,
10/4/2018,75,61,68,0,5:57,7:29,,
10/5/2018,75,60,68,0,5:57,7:27,,
10/6/2018,74,61,68,0,5:58,7:26,,
10/7/2018,75,58,67,0,5:59,7:25,,
10/8/2018,75,56,66,0,6:00,7:23,,
10/9/2018,74,60,67,0,6:00,7:22,,
10/10/2018,72,60,66,0,6:01,7:21,,
10/11/2018,74,55,65,0,6:02,7:20,,
10/12/2018,83,55,69,0.23,6:03,7:18,,
10/13/2018,70,60,65,0.07,6:03,7:17,,
10/14/2018,71,60,66,0,6:04,7:16,,
10/15/2018,79,56,68,0,6:05,7:15,,
10/16/2018,85,52,69,0,6:06,7:13,,
10/17/2018,82,52,67,0,6:06,7:12,,
10/18/2018,86,53,70,0,6:07,7:11,,
10/19/2018,88,58,73,0,6:08,7:10,,
10/20/2018,88,58,73,0,6:09,7:09,,
10/21/2018,80,57,69,0,6:10,7:08,,
10/22/2018,77,58,68,0,6:10,7:07,,
10/23/2018,78,57,68,0,6:11,7:06,,
10/24/2018,79,57,68,0,6:12,7:05,,
10/25/2018,81,57,69,0,6:13,7:03,,
10/26/2018,91,56,74,0,6:13,7:02,,
10/27/2018,88,57,73,0,6:14,7:02,,
10/28/2018,85,56,71,0,6:15,7:01,,
10/29/2018,79,54,67,0,6:16,7:00,,
10/30/2018,75,57,66,0,6:17,6:59,,
10/31/2018,80,53,67,0,6:18,6:58,,
11/1/2018,82,54,68,0,6:18,6:57,,
11/2/2018,87,57,72,0,6:19,6:56,,
11/3/2018,87,56,72,0,6:20,6:55,,
11/4/2018,85,59,72,0,5:21,5:55,,
11/5/2018,77,52,65,0,5:22,5:54,,
11/6/2018,75,59,67,0,5:23,5:53,,
11/7/2018,71,56,64,0,5:23,5:52,,
11/8/2018,80,54,67,0,5:24,5:52,,
11/9/2018,80,54,67,0,5:25,5:51,,
11/10/2018,77,45,61,0,5:26,5:50,,
11/11/2018,76,43,60,0,5:27,5:50,,
11/12/2018,76,44,60,0,5:28,5:49,,
11/13/2018,73,44,59,0,5:29,5:49,,
11/14/2018,78,52,65,0,5:29,5:48,,
11/15/2018,81,47,64,0,5:30,5:47,,
11/16/2018,75,48,62,0,5:31,5:47,,
11/17/2018,71,50,61,0,5:32,5:47,,
11/18/2018,75,50,63,0,5:33,5:46,,
11/19/2018,72,49,61,0,5:34,5:46,,
11/20/2018,73,47,60,0,5:35,5:45,,
11/21/2018,69,49,59,0.1,5:35,5:45,,
11/22/2018,67,53,60,0.14,5:36,5:45,,
11/23/2018,70,47,59,0,5:37,5:44,,
11/24/2018,69,50,60,0,5:38,5:44,,
11/25/2018,75,49,62,0,5:39,5:44,,
11/26/2018,77,49,63,0,5:40,5:44,,
11/27/2018,75,50,63,0,5:40,5:44,,
11/28/2018,66,48,57,0.02,5:41,5:43,,
11/29/2018,62,52,57,0.81,5:42,5:43,,
11/30/2018,65,49,57,0,5:43,5:43,,
12/1/2018,64,46,55,0,5:44,5:43,,
12/2/2018,62,47,55,0,5:45,5:43,,
12/3/2018,66,47,57,0,5:45,5:43,,
12/4/2018,69,46,58,0,5:46,5:43,,
12/5/2018,58,49,54,0.44,5:47,5:43,,
12/6/2018,52,46,49,2.15,5:48,5:43,,
12/7/2018,68,46,57,0,5:48,5:43,,
12/8/2018,70,45,58,0,5:49,5:44,,
12/9/2018,70,47,59,0,5:50,5:44,,
12/10/2018,67,51,59,0,5:50,5:44,,
12/11/2018,70,46,58,0,5:51,5:44,,
12/12/2018,65,44,55,0,5:52,5:44,,
12/13/2018,75,43,59,0,5:52,5:45,,
12/14/2018,67,50,59,0,5:53,5:45,,
12/15/2018,74,43,59,0,5:54,5:45,,
12/16/2018,72,44,58,0,5:54,5:46,,
12/17/2018,65,51,58,1.00E-16,5:55,5:46,,
12/18/2018,68,47,58,0,5:55,5:46,,
12/19/2018,77,45,61,0,5:56,5:47,,
12/20/2018,79,46,63,0,5:56,5:47,,
12/21/2018,71,51,61,0,5:57,5:48,,
12/22/2018,71,45,58,0,5:57,5:48,,
12/23/2018,68,44,56,0,5:58,5:49,,
12/24/2018,67,44,56,0.01,5:58,5:49,,
12/25/2018,64,51,58,0,5:59,5:50,,
12/26/2018,65,48,57,0,5:59,5:50,,
12/27/2018,65,41,53,0,5:59,5:51,,
12/28/2018,60,44,52,0,6:00,5:51,,
12/29/2018,60,35,48,0,6:00,5:52,,
12/30/2018,63,38,51,0,6:00,5:53,,
12/31/2018,62,42,52,0,6:01,5:53,,
